"id","titre_fr","titre_ar","latitude","longitude","geo_json_id"
"1","Tanger-Tétouan-Al Hoceïma","طنجة- تطوان -الحسيمة","35.16482750605027","-5.306396484375001","3"
"2","l'Oriental","الشرق","33.61461929233378","-2.4279785156250004","2"
"3","Fès-Meknès","فاس- مكناس","33.87041555094183","-4.625244140625001","4"
"4","Rabat-Salé-Kénitra","الرباط -سلا -القنيطرة","34.20725938207231","-6.218261718750001","5"
"5","Béni Mellal-Khénifra","بني ملال -خنيفرة","32.58384932565662","-6.218261718750001","7"
"6","Casablanca-Settat","الدار البيضاء-سطات","33.13198099457715","-7.64326572418213","6"
"7","Marrakech-Safi","مراكش- آسفي","31.840232667909365","-8.327636718750002","12"
"8","Drâa-Tafilalet","درعة -تافيلالت","31.27767058910973","-5.307297706604005","8"
"9","Souss-Massa","سوس- ماسة","30.10622686874734","-8.394455909729006","9"
"10","Guelmim-Oued Noun","كلميم -واد نون","28.28881235778195","-9.949579238891603","10"
"11","Laâyoune-Sakia El Hamra","العيون- الساقية الحمراء","26.58852714730864","-12.32666015625","1"
"12","Dakhla-Oued Ed Dahab","الداخلة- وادي الذهب","22.978623970384913","-14.458007812500002","11"
